Study_Hours,Internal_Marks,Extra_Activities,Sleep Hours,Assignment_Scores,Final_Marks,Attendance,Family_Income,Internet_Access,Placement_Status,Risk_Category,Performance_Level
7,67,Yes,9,3,60.0,75,91808,No,Placed,Safe,Good
2,97,Yes,9,4,74.0,77,38448,Yes,Not Placed,Safe,Good
4,59,No,8,3,42.0,75,29285,No,Not Placed,Safe,Average
9,72,No,8,2,68.0,91,40841,Yes,Not Placed,Safe,Good
2,55,Yes,4,1,32.0,99,76135,Yes,Not Placed,At Risk,Poor
9,68,No,5,3,64.0,96,77383,No,Placed,Safe,Good
5,62,No,7,4,45.0,77,85085,No,Placed,Safe,Average
2,63,Yes,6,0,39.0,69,81457,Yes,Not Placed,At Risk,Poor
4,73,Yes,7,0,58.0,94,25783,No,Placed,Safe,Average
7,46,No,9,5,36.0,90,97189,Yes,Placed,At Risk,Poor
8,77,Yes,6,4,71.0,64,75987,No,Not Placed,Safe,Good
3,76,Yes,4,3,54.0,93,30570,Yes,Not Placed,Safe,Average
1,43,Yes,7,0,17.0,79,61912,No,Not Placed,At Risk,Poor
4,73,No,4,6,54.0,80,88011,Yes,Not Placed,Safe,Average
2,81,Yes,4,3,58.0,60,24240,Yes,Not Placed,Safe,Average
8,61,No,7,2,53.0,60,99914,Yes,Placed,Safe,Average
4,44,Yes,7,6,27.0,61,96133,No,Not Placed,At Risk,Poor
2,89,Yes,6,1,65.0,79,40642,Yes,Not Placed,Safe,Good
6,81,No,9,9,75.0,94,69114,No,Placed,Safe,Good
6,62,Yes,9,0,52.0,87,32364,No,Not Placed,Safe,Average
4,93,No,8,3,78.0,99,56421,Yes,Placed,Safe,Good
6,99,No,4,7,91.0,71,79793,No,Not Placed,Safe,Excellent
2,54,Yes,9,5,33.0,85,20562,Yes,Not Placed,At Risk,Poor
2,70,Yes,5,8,47.0,84,70846,Yes,Not Placed,Safe,Average
4,98,No,6,0,78.0,83,21895,Yes,Not Placed,Safe,Good
8,48,No,6,0,38.0,71,59679,No,Not Placed,At Risk,Poor
7,82,Yes,8,4,70.0,67,71945,Yes,Not Placed,Safe,Good
9,97,Yes,8,5,98.0,95,41736,No,Not Placed,Safe,Excellent
8,92,Yes,4,7,87.0,67,74751,No,Placed,Safe,Excellent
5,64,Yes,6,2,49.0,77,39517,No,Not Placed,Safe,Average
2,64,Yes,6,5,41.0,81,88711,No,Placed,Safe,Average
5,88,No,5,2,71.0,75,83018,Yes,Placed,Safe,Good
8,60,No,4,7,54.0,80,95418,Yes,Placed,Safe,Average
9,48,No,4,3,42.0,68,76904,Yes,Placed,Safe,Average
9,94,No,9,1,91.0,97,37401,Yes,Not Placed,Safe,Excellent
1,87,Yes,8,8,61.0,82,83418,Yes,Placed,Safe,Good
9,77,No,9,9,74.0,80,92781,Yes,Not Placed,Safe,Good
7,61,Yes,4,7,54.0,91,54231,No,Placed,Safe,Average
9,82,Yes,5,5,81.0,69,31922,No,Not Placed,Safe,Excellent
8,62,Yes,4,2,52.0,69,58056,No,Placed,Safe,Average
1,88,Yes,9,1,65.0,91,96070,No,Not Placed,Safe,Good
8,43,Yes,7,3,36.0,85,30744,No,Not Placed,At Risk,Poor
8,68,No,7,3,61.0,72,85755,Yes,Not Placed,Safe,Good
3,54,Yes,5,0,35.0,72,82772,Yes,Not Placed,At Risk,Poor
1,40,Yes,8,8,15.0,80,26937,Yes,Not Placed,At Risk,Poor
8,93,Yes,6,9,88.0,78,92659,Yes,Placed,Safe,Excellent
3,69,No,4,7,45.0,68,31167,No,Placed,Safe,Average
3,68,Yes,9,6,49.0,87,80870,Yes,Placed,Safe,Average
1,59,Yes,8,5,33.0,63,71540,Yes,Not Placed,At Risk,Poor
5,72,Yes,9,2,60.0,86,66133,Yes,Not Placed,Safe,Good
7,80,No,8,3,71.0,80,91397,Yes,Not Placed,Safe,Good
9,83,Yes,4,1,81.0,88,95661,No,Placed,Safe,Excellent
7,75,No,6,6,67.0,75,99062,Yes,Not Placed,Safe,Good
9,99,No,4,1,95.0,63,77333,Yes,Not Placed,Safe,Excellent
8,61,Yes,6,9,58.0,92,59084,No,Placed,Safe,Average
2,52,No,9,0,29.0,80,50806,Yes,Not Placed,At Risk,Poor
1,46,No,5,5,21.0,67,66955,No,Not Placed,At Risk,Poor
7,47,Yes,6,3,38.0,88,20593,Yes,Placed,At Risk,Poor
7,67,Yes,8,7,60.0,73,56031,Yes,Not Placed,Safe,Good
8,84,Yes,5,0,76.0,73,52767,No,Not Placed,Safe,Good
5,82,Yes,9,8,69.0,63,59053,No,Placed,Safe,Good
3,48,No,7,5,30.0,78,40433,No,Placed,At Risk,Poor
8,64,No,5,1,57.0,69,50007,No,Not Placed,Safe,Average
6,95,Yes,6,7,81.0,73,42102,No,Placed,Safe,Excellent
3,55,Yes,5,4,36.0,63,22893,Yes,Placed,At Risk,Poor
1,49,Yes,9,4,25.0,88,46221,Yes,Not Placed,At Risk,Poor
3,50,No,5,4,27.0,99,60187,Yes,Placed,At Risk,Poor
5,70,Yes,9,6,61.0,81,88892,Yes,Placed,Safe,Good
3,51,No,7,6,34.0,92,98559,Yes,Placed,At Risk,Poor
1,99,No,6,9,76.0,82,63296,Yes,Placed,Safe,Good
5,70,No,8,6,57.0,77,96927,No,Placed,Safe,Average
7,53,No,5,9,45.0,86,23414,Yes,Not Placed,Safe,Average
7,90,Yes,4,1,76.0,78,96959,Yes,Placed,Safe,Good
9,83,Yes,8,7,83.0,80,46874,No,Not Placed,Safe,Excellent
3,71,Yes,5,0,50.0,72,34005,Yes,Not Placed,Safe,Average
7,89,No,8,1,81.0,75,98568,No,Placed,Safe,Excellent
1,92,No,4,6,66.0,99,30804,No,Placed,Safe,Good
4,56,Yes,8,3,38.0,89,27478,Yes,Not Placed,At Risk,Poor
4,74,No,8,9,56.0,90,82160,Yes,Not Placed,Safe,Average
5,40,No,4,9,25.0,97,43133,No,Not Placed,At Risk,Poor
7,68,No,4,8,56.0,92,92180,No,Placed,Safe,Average
7,90,Yes,4,8,82.0,75,20859,Yes,Not Placed,Safe,Excellent
4,43,Yes,7,2,23.0,99,77799,Yes,Not Placed,At Risk,Poor
7,62,Yes,9,2,56.0,78,65304,Yes,Placed,Safe,Average
3,67,No,9,8,46.0,61,41258,No,Placed,Safe,Average
6,55,Yes,4,9,43.0,71,71765,No,Not Placed,Safe,Average
2,51,Yes,9,7,30.0,68,51597,Yes,Placed,At Risk,Poor
9,92,Yes,8,0,92.0,62,37162,No,Not Placed,Safe,Excellent
5,60,No,4,5,45.0,85,25950,Yes,Not Placed,Safe,Average
6,84,No,5,6,70.0,69,82383,Yes,Not Placed,Safe,Good
4,56,No,4,7,36.0,62,92072,No,Not Placed,At Risk,Poor
7,79,No,4,1,71.0,61,86723,Yes,Not Placed,Safe,Good
9,52,No,9,0,49.0,65,70899,No,Not Placed,Safe,Average
7,91,Yes,6,3,82.0,94,89507,No,Not Placed,Safe,Excellent
1,97,Yes,8,0,71.0,93,57891,No,Not Placed,Safe,Good
1,71,No,9,1,43.0,95,72805,No,Not Placed,Safe,Average
9,76,No,8,2,77.0,98,92525,Yes,Placed,Safe,Good
9,89,Yes,5,3,86.0,78,52260,No,Placed,Safe,Excellent
4,54,No,7,5,34.0,95,84273,No,Not Placed,At Risk,Poor
9,51,No,6,7,49.0,79,99614,Yes,Placed,Safe,Average
3,88,No,5,8,69.0,66,86764,Yes,Not Placed,Safe,Good
7,96,No,5,3,84.0,94,70974,No,Placed,Safe,Excellent
6,54,No,8,0,41.0,97,59006,No,Placed,Safe,Average
8,73,Yes,6,4,68.0,89,35612,No,Placed,Safe,Good
9,45,Yes,8,4,44.0,98,58531,No,Placed,Safe,Average
5,56,No,7,8,41.0,66,93012,Yes,Not Placed,Safe,Average
1,87,No,8,5,58.0,97,77706,No,Not Placed,Safe,Average
3,88,Yes,4,4,68.0,92,56363,Yes,Not Placed,Safe,Good
8,96,No,8,9,94.0,82,39922,Yes,Placed,Safe,Excellent
6,59,Yes,4,9,47.0,74,67602,Yes,Placed,Safe,Average
8,48,No,5,4,40.0,60,81966,No,Placed,Safe,Average
9,98,Yes,7,7,100.0,70,55933,Yes,Not Placed,Safe,Excellent
4,44,Yes,9,0,23.0,88,80419,No,Placed,At Risk,Poor
1,62,No,4,4,36.0,73,66389,Yes,Not Placed,At Risk,Poor
1,72,No,7,0,47.0,66,80575,Yes,Placed,Safe,Average
4,77,Yes,8,6,60.0,73,42532,No,Placed,Safe,Good
7,95,No,9,6,83.0,84,92643,No,Placed,Safe,Excellent
2,53,Yes,8,9,33.0,68,43680,Yes,Not Placed,At Risk,Poor
3,56,No,5,7,36.0,72,36722,Yes,Not Placed,At Risk,Poor
1,96,No,8,6,74.0,77,57255,No,Placed,Safe,Good
5,58,No,4,8,42.0,77,23385,Yes,Placed,Safe,Average
1,72,Yes,5,7,47.0,81,47688,No,Not Placed,Safe,Average
8,40,Yes,7,7,31.0,73,66150,No,Not Placed,At Risk,Poor
1,52,No,5,2,26.0,71,77421,Yes,Placed,At Risk,Poor
1,85,Yes,7,9,58.0,80,97668,Yes,Not Placed,Safe,Average
2,66,No,6,3,42.0,74,24079,No,Not Placed,Safe,Average
2,45,Yes,4,3,18.0,80,75424,No,Placed,At Risk,Poor
6,98,No,4,0,85.0,86,95785,No,Placed,Safe,Excellent
7,45,Yes,7,5,36.0,96,54930,Yes,Not Placed,At Risk,Poor
5,72,Yes,8,1,58.0,93,55572,No,Not Placed,Safe,Average
1,69,Yes,9,8,45.0,74,98328,Yes,Placed,Safe,Average
1,85,Yes,8,0,60.0,84,40284,Yes,Placed,Safe,Good
3,74,Yes,6,0,56.0,67,52172,No,Placed,Safe,Average
2,62,Yes,7,9,42.0,60,26011,Yes,Not Placed,Safe,Average
5,49,No,6,5,33.0,69,21398,No,Placed,At Risk,Poor
6,90,No,7,0,77.0,94,79251,No,Not Placed,Safe,Good
7,58,Yes,6,2,51.0,84,37203,Yes,Not Placed,Safe,Average
4,90,No,7,9,72.0,69,74924,No,Placed,Safe,Good
7,67,Yes,4,1,57.0,75,92704,Yes,Not Placed,Safe,Average
8,62,No,6,8,53.0,98,69700,No,Not Placed,Safe,Average
1,43,No,6,4,16.0,98,24508,No,Not Placed,At Risk,Poor
6,59,No,7,5,45.0,81,43521,Yes,Placed,Safe,Average
8,58,No,5,1,49.0,69,65652,Yes,Not Placed,Safe,Average
5,81,Yes,5,7,67.0,67,99057,Yes,Placed,Safe,Good
4,66,No,4,5,49.0,78,67113,Yes,Not Placed,Safe,Average
2,96,No,8,7,73.0,76,29266,Yes,Not Placed,Safe,Good
6,73,No,8,7,65.0,65,50143,Yes,Not Placed,Safe,Good
6,43,Yes,4,0,27.0,80,80662,Yes,Not Placed,At Risk,Poor
1,95,No,8,6,72.0,88,35643,No,Placed,Safe,Good
9,77,Yes,9,1,74.0,92,63149,No,Placed,Safe,Good
6,46,Yes,9,7,38.0,74,35316,Yes,Placed,At Risk,Poor
3,87,No,9,1,67.0,69,58449,Yes,Placed,Safe,Good
4,46,Yes,9,3,28.0,84,53987,Yes,Placed,At Risk,Poor
4,89,No,7,1,73.0,89,96544,Yes,Not Placed,Safe,Good
3,91,No,5,6,72.0,63,25707,No,Placed,Safe,Good
3,65,No,4,4,42.0,93,93496,No,Placed,Safe,Average
3,65,No,7,8,47.0,79,22942,Yes,Placed,Safe,Average
4,93,No,9,4,77.0,81,29898,Yes,Not Placed,Safe,Good
7,58,No,4,7,49.0,84,74484,No,Placed,Safe,Average
4,48,No,5,1,30.0,71,45619,Yes,Placed,At Risk,Poor
9,59,Yes,8,2,54.0,65,50699,No,Placed,Safe,Average
1,81,Yes,7,5,56.0,60,91279,Yes,Not Placed,Safe,Average
8,84,No,5,6,75.0,98,36913,No,Not Placed,Safe,Good
7,89,No,4,9,78.0,67,37922,Yes,Placed,Safe,Good
2,55,Yes,6,7,32.0,66,61210,Yes,Not Placed,At Risk,Poor
8,93,No,7,2,89.0,72,84769,Yes,Not Placed,Safe,Excellent
1,56,Yes,4,6,29.0,63,55600,No,Placed,At Risk,Poor
9,61,Yes,4,7,57.0,90,58032,Yes,Not Placed,Safe,Average
9,52,No,5,9,48.0,63,26581,No,Not Placed,Safe,Average
2,51,No,4,5,27.0,74,52468,Yes,Not Placed,At Risk,Poor
7,49,Yes,7,3,38.0,72,65329,No,Not Placed,At Risk,Poor
3,40,Yes,9,5,18.0,94,80960,No,Placed,At Risk,Poor
7,71,No,7,8,66.0,79,32168,No,Placed,Safe,Good
9,69,No,4,2,65.0,70,58356,No,Placed,Safe,Good
4,47,Yes,5,1,27.0,69,57906,Yes,Placed,At Risk,Poor
1,60,Yes,7,4,33.0,69,31027,No,Not Placed,At Risk,Poor
2,61,Yes,6,6,37.0,69,69563,No,Placed,At Risk,Poor
1,57,No,9,2,29.0,71,81015,Yes,Not Placed,At Risk,Poor
5,41,No,8,4,26.0,65,30893,Yes,Placed,At Risk,Poor
5,87,No,5,3,72.0,63,98918,Yes,Not Placed,Safe,Good
7,83,Yes,5,6,77.0,83,99911,Yes,Not Placed,Safe,Good
9,48,Yes,8,1,45.0,64,56614,Yes,Placed,Safe,Average
9,42,No,8,6,41.0,73,49614,Yes,Not Placed,Safe,Average
3,93,Yes,7,1,73.0,72,56983,No,Placed,Safe,Good
3,65,Yes,4,2,43.0,82,91877,No,Not Placed,Safe,Average
3,60,Yes,4,4,39.0,77,60556,Yes,Not Placed,At Risk,Poor
4,69,Yes,6,6,54.0,83,89337,Yes,Not Placed,Safe,Average
8,67,Yes,9,5,62.0,94,54414,No,Not Placed,Safe,Good
6,75,No,4,6,63.0,65,84399,No,Not Placed,Safe,Good
8,65,No,6,5,59.0,96,44843,Yes,Placed,Safe,Average
1,73,No,6,0,46.0,84,38694,No,Not Placed,Safe,Average
8,47,No,5,4,42.0,65,48329,Yes,Not Placed,Safe,Average
4,49,No,5,0,30.0,76,41655,Yes,Placed,At Risk,Poor
1,87,Yes,9,6,63.0,74,49549,No,Not Placed,Safe,Good
8,94,Yes,7,3,89.0,68,29661,Yes,Placed,Safe,Excellent
4,82,Yes,8,4,62.0,85,81002,Yes,Not Placed,Safe,Good
6,89,No,8,0,77.0,81,43543,No,Placed,Safe,Good
8,93,Yes,9,7,88.0,96,54266,Yes,Placed,Safe,Excellent
4,53,Yes,6,3,35.0,74,25416,No,Placed,At Risk,Poor
3,79,Yes,9,2,60.0,74,47406,Yes,Placed,Safe,Good
9,94,No,8,0,92.0,71,29016,Yes,Placed,Safe,Excellent
3,54,Yes,6,3,38.0,72,87754,No,Placed,At Risk,Poor
9,56,Yes,8,2,56.0,97,53457,Yes,Not Placed,Safe,Average
2,92,No,7,7,70.0,89,99135,Yes,Placed,Safe,Good
2,57,No,5,8,35.0,63,79893,No,Placed,At Risk,Poor
2,71,Yes,5,4,47.0,92,86210,Yes,Placed,Safe,Average
6,77,No,6,8,66.0,96,37976,Yes,Not Placed,Safe,Good
3,62,Yes,9,0,43.0,83,39626,No,Not Placed,Safe,Average
9,85,No,8,6,81.0,93,87619,No,Placed,Safe,Excellent
4,62,Yes,4,6,43.0,62,48657,Yes,Placed,Safe,Average
1,74,Yes,7,5,46.0,77,41278,Yes,Placed,Safe,Average
4,78,No,8,3,61.0,88,63514,Yes,Not Placed,Safe,Good
1,54,No,4,8,27.0,75,79972,Yes,Placed,At Risk,Poor
5,92,No,7,2,77.0,67,46127,No,Placed,Safe,Good
4,63,No,7,0,43.0,98,20103,No,Placed,Safe,Average
8,67,Yes,5,1,60.0,81,60299,No,Not Placed,Safe,Good
8,55,No,6,2,48.0,66,91552,Yes,Placed,Safe,Average
7,55,Yes,8,1,47.0,76,64141,Yes,Not Placed,Safe,Average
3,79,Yes,7,5,60.0,74,39484,No,Placed,Safe,Good
1,78,Yes,8,6,53.0,75,35497,Yes,Not Placed,Safe,Average
1,45,No,7,4,19.0,89,47396,Yes,Placed,At Risk,Poor
3,41,Yes,9,4,23.0,95,90453,Yes,Not Placed,At Risk,Poor
6,93,Yes,5,6,81.0,75,58504,Yes,Not Placed,Safe,Excellent
7,52,No,6,5,41.0,88,63194,Yes,Not Placed,Safe,Average
6,83,Yes,4,7,71.0,70,34723,Yes,Not Placed,Safe,Good
6,86,Yes,4,8,75.0,85,57359,Yes,Not Placed,Safe,Good
6,98,Yes,9,1,89.0,97,91908,Yes,Placed,Safe,Excellent
3,48,No,5,1,28.0,81,97243,No,Not Placed,At Risk,Poor
6,73,Yes,7,0,60.0,91,58737,Yes,Not Placed,Safe,Good
8,56,Yes,5,6,54.0,74,65791,Yes,Not Placed,Safe,Average
2,66,Yes,6,3,41.0,61,84853,No,Not Placed,Safe,Average
5,68,No,4,8,52.0,72,28267,Yes,Placed,Safe,Average
1,76,No,8,5,53.0,97,43671,No,Placed,Safe,Average
1,82,No,4,6,52.0,95,49165,No,Placed,Safe,Average
5,61,Yes,6,6,47.0,97,62755,Yes,Placed,Safe,Average
3,90,Yes,7,7,71.0,85,23755,No,Placed,Safe,Good
4,63,Yes,5,3,42.0,98,20283,Yes,Placed,Safe,Average
3,46,Yes,4,2,21.0,73,92638,Yes,Not Placed,At Risk,Poor
1,73,Yes,4,2,48.0,98,26755,Yes,Placed,Safe,Average
1,87,No,8,9,64.0,79,50026,Yes,Placed,Safe,Good
5,51,Yes,5,7,38.0,89,53238,Yes,Placed,At Risk,Poor
6,62,Yes,8,2,49.0,91,28914,No,Placed,Safe,Average
3,54,No,8,7,35.0,96,97146,Yes,Placed,At Risk,Poor
9,72,No,7,1,73.0,87,87544,Yes,Not Placed,Safe,Good
5,96,Yes,4,4,81.0,67,46164,No,Placed,Safe,Excellent
8,52,No,9,4,47.0,62,33853,Yes,Placed,Safe,Average
1,62,No,5,6,36.0,82,69020,No,Placed,At Risk,Poor
5,77,No,7,4,63.0,98,35651,Yes,Placed,Safe,Good
3,71,Yes,9,8,52.0,96,36515,No,Not Placed,Safe,Average
1,84,No,7,2,58.0,78,38379,Yes,Placed,Safe,Average
4,89,Yes,7,8,77.0,64,76290,Yes,Placed,Safe,Good
5,74,No,6,0,58.0,68,31840,Yes,Not Placed,Safe,Average
7,40,Yes,6,2,33.0,99,82997,Yes,Not Placed,At Risk,Poor
1,86,Yes,7,3,67.0,63,22627,No,Placed,Safe,Good
3,97,Yes,6,5,76.0,80,86750,No,Placed,Safe,Good
2,84,No,5,9,62.0,96,91266,Yes,Not Placed,Safe,Good
9,44,No,4,7,37.0,72,78761,No,Not Placed,At Risk,Poor
6,96,No,9,6,86.0,74,23644,No,Placed,Safe,Excellent
3,52,Yes,5,7,37.0,85,54122,Yes,Placed,At Risk,Poor
8,93,No,4,5,88.0,91,82194,No,Not Placed,Safe,Excellent
8,44,No,6,5,38.0,73,42742,No,Placed,At Risk,Poor
2,99,Yes,9,5,76.0,81,73225,Yes,Placed,Safe,Good
6,71,No,5,2,57.0,70,51979,Yes,Not Placed,Safe,Average
7,90,Yes,8,9,82.0,62,39000,Yes,Placed,Safe,Excellent
2,60,No,7,3,35.0,79,24821,Yes,Placed,At Risk,Poor
2,63,Yes,4,5,41.0,96,23088,No,Placed,Safe,Average
1,99,Yes,4,6,75.0,99,60469,No,Not Placed,Safe,Good
8,57,No,8,2,51.0,62,30582,No,Placed,Safe,Average
1,60,Yes,8,3,34.0,90,55888,No,Placed,At Risk,Poor
9,93,No,7,5,92.0,62,36178,No,Placed,Safe,Excellent
6,49,No,6,0,39.0,63,66053,Yes,Not Placed,At Risk,Poor
7,63,No,5,6,56.0,99,26928,No,Not Placed,Safe,Average
7,79,No,5,0,69.0,88,69158,Yes,Placed,Safe,Good
3,86,Yes,5,9,69.0,97,39404,Yes,Not Placed,Safe,Good
2,60,Yes,6,8,40.0,92,59622,No,Placed,Safe,Average
9,64,Yes,7,9,63.0,71,30542,Yes,Not Placed,Safe,Good
8,91,No,5,8,86.0,75,70777,No,Placed,Safe,Excellent
7,99,No,4,8,89.0,86,58260,No,Not Placed,Safe,Excellent
9,96,Yes,4,3,94.0,80,70820,No,Placed,Safe,Excellent
4,98,Yes,4,1,79.0,62,54702,Yes,Placed,Safe,Good
4,62,No,8,6,44.0,96,77790,No,Placed,Safe,Average
1,61,No,8,3,33.0,64,66313,Yes,Not Placed,At Risk,Poor
8,43,No,6,4,36.0,82,71213,No,Not Placed,At Risk,Poor
3,73,Yes,5,0,50.0,71,34017,Yes,Placed,Safe,Average
7,95,No,8,9,94.0,85,37110,No,Not Placed,Safe,Excellent
2,45,Yes,4,5,22.0,98,50054,Yes,Not Placed,At Risk,Poor
2,67,No,8,6,44.0,70,39630,Yes,Not Placed,Safe,Average
7,70,Yes,4,2,60.0,84,67526,Yes,Placed,Safe,Good
6,74,No,5,9,64.0,81,55857,No,Placed,Safe,Good
3,78,Yes,6,1,58.0,71,93926,Yes,Not Placed,Safe,Average
9,81,Yes,7,9,78.0,86,95504,Yes,Placed,Safe,Good
6,62,Yes,7,6,51.0,84,49835,No,Not Placed,Safe,Average
6,45,No,4,0,30.0,98,89465,Yes,Placed,At Risk,Poor
1,55,Yes,8,1,29.0,63,23551,No,Not Placed,At Risk,Poor
4,41,Yes,8,2,22.0,62,57092,Yes,Not Placed,At Risk,Poor
6,63,No,4,3,51.0,96,23862,Yes,Placed,Safe,Average
6,56,Yes,5,4,45.0,99,70155,Yes,Placed,Safe,Average
5,84,Yes,4,3,70.0,96,75794,Yes,Placed,Safe,Good
1,40,No,5,9,10.0,69,69921,No,Placed,At Risk,Poor
8,45,Yes,6,2,38.0,79,93513,Yes,Not Placed,At Risk,Poor
5,44,No,6,0,30.0,94,88676,No,Not Placed,At Risk,Poor
5,96,Yes,4,6,82.0,67,96348,Yes,Not Placed,Safe,Excellent
7,84,No,6,9,74.0,88,25624,No,Placed,Safe,Good
4,99,Yes,8,5,87.0,60,45791,No,Not Placed,Safe,Excellent
6,94,Yes,5,1,77.0,62,67818,Yes,Placed,Safe,Good
4,89,Yes,7,1,72.0,82,21516,Yes,Not Placed,Safe,Good
3,68,No,7,2,51.0,64,99450,No,Placed,Safe,Average
7,51,Yes,6,7,40.0,80,50844,No,Not Placed,Safe,Average
8,78,Yes,5,7,72.0,85,39081,No,Not Placed,Safe,Good
4,86,No,8,9,68.0,68,70038,Yes,Placed,Safe,Good
2,42,No,7,9,22.0,96,95424,Yes,Not Placed,At Risk,Poor
3,87,No,8,9,67.0,64,55786,Yes,Not Placed,Safe,Good
1,40,Yes,8,9,18.0,82,79569,No,Not Placed,At Risk,Poor
8,66,Yes,7,7,64.0,70,94721,No,Not Placed,Safe,Good
3,87,Yes,7,6,66.0,79,80638,Yes,Placed,Safe,Good
7,63,No,6,1,50.0,91,54298,No,Placed,Safe,Average
5,83,No,5,0,68.0,62,62855,Yes,Placed,Safe,Good
5,58,Yes,4,5,44.0,62,47689,No,Not Placed,Safe,Average
7,98,Yes,5,7,90.0,92,37006,Yes,Placed,Safe,Excellent
9,47,No,4,0,41.0,72,57093,No,Not Placed,Safe,Average
5,94,No,7,2,83.0,70,33493,Yes,Placed,Safe,Excellent
1,83,No,8,0,57.0,90,29081,Yes,Placed,Safe,Average
1,86,Yes,5,9,64.0,88,71580,No,Not Placed,Safe,Good
2,41,No,8,8,18.0,76,59433,Yes,Not Placed,At Risk,Poor
6,69,No,5,6,62.0,81,80069,Yes,Not Placed,Safe,Good
9,69,No,9,7,66.0,61,85894,No,Not Placed,Safe,Good
8,88,No,5,8,85.0,86,32553,Yes,Not Placed,Safe,Excellent
5,78,Yes,8,2,62.0,81,41351,No,Not Placed,Safe,Good
1,84,No,9,9,62.0,93,66406,No,Placed,Safe,Good
7,71,Yes,6,1,62.0,72,57960,No,Not Placed,Safe,Good
5,40,Yes,7,5,26.0,70,39938,Yes,Not Placed,At Risk,Poor
6,77,No,6,4,66.0,79,62608,Yes,Placed,Safe,Good
7,52,No,6,3,43.0,80,26128,No,Not Placed,Safe,Average
3,50,Yes,5,5,30.0,63,89528,Yes,Placed,At Risk,Poor
3,49,No,7,5,25.0,96,79305,Yes,Placed,At Risk,Poor
5,87,Yes,9,2,77.0,95,49561,Yes,Not Placed,Safe,Good
6,98,No,5,1,88.0,63,27762,Yes,Not Placed,Safe,Excellent
9,65,Yes,4,8,62.0,92,29990,No,Placed,Safe,Good
5,95,Yes,5,7,82.0,91,61097,No,Not Placed,Safe,Excellent
1,94,Yes,9,3,73.0,79,86763,Yes,Not Placed,Safe,Good
4,59,No,8,5,44.0,83,89644,No,Not Placed,Safe,Average
5,56,Yes,5,2,40.0,77,90454,Yes,Placed,Safe,Average
5,56,Yes,4,7,39.0,71,96519,No,Not Placed,At Risk,Poor
7,43,No,5,2,34.0,65,51984,No,Placed,At Risk,Poor
4,44,No,9,1,27.0,87,48400,Yes,Not Placed,At Risk,Poor
1,99,Yes,4,6,73.0,73,79986,No,Not Placed,Safe,Good
5,62,Yes,7,2,46.0,66,33245,No,Placed,Safe,Average
7,85,No,9,8,78.0,95,27810,No,Placed,Safe,Good
6,91,Yes,5,2,80.0,93,30970,No,Placed,Safe,Excellent
5,49,No,4,7,33.0,62,50005,Yes,Not Placed,At Risk,Poor
4,85,No,9,1,68.0,90,93016,No,Not Placed,Safe,Good
